Moves;FPS
114;120.00286393389557
115;121.00776076664009
116;124.19002534937576
117;123.10429727101567
118;124.17460410214457
119;124.19456173930831
120;124.18082397629085
121;119.99294159167108
122;123.1162693494288
123;122.07619811633349
124;119.00404613756868
125;116.1073026614916
126;124.18224945187625
127;119.99596652213371
128;119.99548252301089
129;123.10302378267662
130;120.00116975930186
131;121.02462088274748
132;117.07747085115321
133;119.01642426654878
134;121.037422940355
135;116.11670607153765
136;116.12350466592048
137;116.10639638918865
138;120.98955219631623
139;117.06077126325295
140;117.05961974313774
141;117.05466846478376
142;120.00782572039992
143;106.56617804432257
144;106.58335848640883
145;109.87204984313226
146;107.37949809559302
147;108.20286855806494
148;108.18781768807179
149;109.01289283574597
150;107.36748461441991
151;109.84050973380752
152;108.1912603281741
153;108.18034299532279
154;107.38046704186665
155;108.20611537317924
156;108.19745763251234
157;108.1834901084835
158;108.18575220917124
159;111.57041452628046
160;119.00535524098585
161;118.98750631183725
162;116.09563548702118
163;119.02499524900229
164;123.11244822035266
165;119.00856861694042
166;117.05443818296101
167;119.011901190119
168;120.01690322099147
169;121.02757496336119
170;119.01630523381704
171;119.01809074979397
172;118.96228895440146
173;122.04902883844196
174;123.11257558750046
175;119.00273706295245
176;116.08600900203102
177;120.01787156877478
178;121.06007937065036
179;120.00855186991477
180;124.17123526379605
181;116.10458388702536
182;124.18743327534442
183;124.1840637408623
184;124.1765477458826
185;120.00649446911244
186;122.05253387214228
187;124.17473367650082
188;121.0253593893813
189;124.2224354069433
190;118.02113272517738
191;120.01472449561038
192;124.14234850199827
193;124.19624676854933
194;124.16993960541089
195;119.00357010710322
196;119.99342557029648
197;116.11115447662165
198;120.00177481616535
199;116.10718937668001
200;117.07659736382529
201;117.07465558099761
202;117.05295768438036
203;119.01692023882728
204;117.09339076113632
205;120.00468018252712
206;117.08162345379081
207;120.00816055491774
208;117.07328494954629
209;121.05670396894492
210;121.0109252697031
211;119.00724159065079
212;121.00702042396827
213;125.2191334835963
214;120.00924071153479
215;120.00816055491774
216;120.0018000270004
217;120.0043201555256
218;119.02022550365392
219;119.02140599986907
220;119.01420533719204
221;119.01821871382963
222;120.00552025393168
223;117.07522668690767
224;122.04635117006853
225;119.99904000767994
226;120.99384342993348
227;117.08013842775033
228;119.03262188196527
229;120.00300007500188
230;121.03289472357095
231;124.14174090170353
232;122.03505660392709
233;120.00708041774465
234;120.01296139983118
235;120.01200120012001
236;120.012481298055
237;122.04759245867926
238;120.00660036301997
239;124.12543288744719
240;124.14533694596264
241;121.02093258730652
242;118.05051381486138
243;117.10378908826894
244;119.02317678810006
245;119.01727436556354
246;118.04284955438824
247;117.08779242676158
248;120.01548199717763
249;123.07768047803371
250;119.99736005807873
251;119.01786458147367
252;118.9862372585571
253;119.00641543751222
254;119.01633003228318
255;118.04052724768837
256;117.09876109510762
257;117.08459361888964
258;118.04099170171828
259;119.9982000269996
260;120.01224124860735
261;120.03673123975936
262;122.029348058208
263;120.01224124860735
264;121.00946092301983
265;119.01396926464244
266;119.02754495769562
267;119.99040076793857
268;120.01476181570334
269;120.03661116640575
270;120.00876063952668
271;120.99896747547754
272;120.0021600388807
273;120.00276006348146
274;124.15252965952203
275;124.15085984816349
276;124.12941318854327
277;120.00420014700515
278;120.0021600388807
279;119.02801721145129
280;124.1444379153666
281;122.0355530244478
282;120.00780050703295
283;119.01751045122514
284;119.0467923337834
285;120.01764259346123
286;120.01812273653321
287;120.00408013872472
288;120.01596212296235
289;117.08619300097767
290;119.99868001451983
291;117.08002419653833
292;117.07979573478305
293;117.08596451514703
294;121.01727118155213
295;120.00768049155145
296;124.13493467399063
297;117.07922458429557
298;119.02211430883858
299;120.00804053871609
300;120.01032088759634
301;120.99640539845629
302;121.01666096879887
303;125.2182188334462
304;124.14983229426821
305;125.22828072006261
306;125.22775798483492
307;125.24984735174854
308;125.22083215504009
309;125.20410878150318
310;125.23455388321042
311;124.14520851222314
312;124.15895242953204
313;121.0281339983157
314;124.14906164000911
315;121.01873571726796
316;124.13172444826034
317;125.22161617278914
318;124.16601824412695
319;124.14366732807653
320;121.01226761862983
321;118.03716006527455
322;121.01617280302702
323;121.01214558567861
324;120.00108000972008
325;121.00409195504295
326;120.02796651619828
327;120.00528023233022
328;117.07671158835048
329;122.0320781656138
330;118.04041113475198
331;118.04099170171828
332;121.01263371896026
333;118.04668156022299
334;117.07853921106626
335;117.06266364384855
336;121.02117668890095
337;119.02223236115313
338;124.14366732807653
339;119.99988000012
340;121.02117668890095
341;118.0392500179518
342;117.09007739654116
343;118.01916631260917
344;118.04052724768837
345;121.01678301085722
346;117.08687846382016
347;120.00156002028027
348;121.00738649255048
349;120.01656228559541
350;119.99316038985778
351;120.00408013872472
352;120.01476181570334
353;121.01666096879887
354;123.06707771070622
355;122.04287569628003
356;118.0483073348332
357;121.01043715020421
358;121.01849162552038
359;120.01152110602618
360;117.07911035486678
361;121.01702709571236
362;122.04722006944486
363;120.01152110602618
364;124.1386587438616
365;120.02100367564324
366;124.14418105187364
367;124.14931852369907
368;120.01152110602618
369;124.14225460955709
370;121.02361775900567
371;118.05051381486138
372;119.00865787986076
373;123.10924714591728
374;119.01668415550719
375;120.00984080694617
376;124.15060295809504
377;123.09055772331705
378;120.00300007500188
379;120.00132001452016
380;120.01152110602618
381;117.07705426326336
382;120.00912069317268
383;116.1399718941268
384;117.1019606771616
385;120.00372011532357
386;117.06266364384855
387;117.07328494954629
388;120.00276006348146
389;119.02140599986907
390;118.0389016873661
391;119.01774653782334
392;121.02410598484374
393;120.0043201555256
394;122.04858550774755
395;120.00588028813412
396;120.01776262886908
397;120.00420014700515
398;120.00060000300002
399;122.03381557029452
400;122.0309612887283
401;119.99616012287606
402;120.00780050703295
403;120.01128106041968
404;118.99673849772567
405;119.99016080681385
406;124.14829099531754
407;122.05317856990291
408;124.1339073836917
409;123.0871487785139
410;121.01129136191149
411;120.01188117623644
412;122.03902808118036
413;122.05069579067492
414;124.14058507457746
415;124.14508007874936
416;123.06884471173174
417;124.15484178017351
418;120.99603939631042
419;124.13955769075595
420;124.13146763737474
421;121.01068120946142
422;121.0061662725563
423;121.01800344497916
424;119.0059433551544
425;121.0274016122867
426;118.02949753859319
427;121.01751526837651
428;121.01116933092925
429;122.03195406717249
430;123.06253422676733
431;119.99268044649277
432;121.01739322484124
433;118.04633318577541
434;121.01434221645836
435;120.01440172820739
436;121.01544056175368
437;121.01617280302702
438;121.02093258730652
439;121.01446425383995
440;118.03356087580902
441;120.0157220595898
442;119.01326105261279
443;124.15471332676692
444;119.99364033706213
445;122.03952453401241
446;118.0380889239943
447;117.09007739654116
448;122.05566145014332
449;121.01446425383995
450;124.14893319856277
451;117.07979573478305
452;120.01548199717763
453;117.07956727391935
454;117.08824941358301
455;117.07968150423974
456;117.08687846382016
457;120.01092099381043
458;122.04784071943133
459;119.02707270768737
460;119.01349712235282
461;119.02223236115313
462;119.99520019199232
463;121.03667915697953
464;121.01751526837651
465;117.08025265918523
466;117.08002419653833
467;117.08413666060432
468;120.00576027649328
469;124.14752036019334
470;120.00444016428608
471;120.00708041774465
472;124.14700660875899
473;124.14238303718479
474;124.1566401557752
475;121.01348796167906
476;121.0071424465829
477;121.0090948418865
478;120.99713740939079
479;122.05702707733431
